問題ID,回数,検定回,実施日,級,問題番号,枝番,形式,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,正解本文,注意,出典,全文
R01-Q011,1,第1回,2007-01-28,1級・2級共通,11,,選択,小樽の鰊漁獲高が最高だった年を以下から選んでください。,明治30年,大正3年,大正14年,昭和8年,③,大正14年,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問11】
小樽の鰊漁獲高が最高だった年を以下から選んでください。
① 明治30年
② 大正3年
③ 大正14年
④ 昭和8年
正解: ③ 大正14年"
R01-Q012,1,第1回,2007-01-28,1級・2級共通,12,,写真選択,旧近江家番屋の写真を以下の1〜4から選んでください。,［写真］木造2階建て、白い柵に囲まれ、大きな入母屋屋根を正面から見た建物,［写真］平屋の和風建築が横に連なり、複数の屋根が並ぶ。手前は砂利地,［写真］木造の妻入り建物。正面に唐破風の玄関、深い軒,［写真］大きな切妻屋根の細長い建物を斜めから見た外観。背後に丘、電柱,④,［写真］大きな切妻屋根の細長い建物を斜めから見た外観。背後に丘、電柱,選択肢は4枚の写真。描写はClaudeが画像を見て作成したもので原文ではない。画像: images/R01-Q012-*.png,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問12】
旧近江家番屋の写真を以下の1〜4から選んでください。
① ［写真］木造2階建て、白い柵に囲まれ、大きな入母屋屋根を正面から見た建物
② ［写真］平屋の和風建築が横に連なり、複数の屋根が並ぶ。手前は砂利地
③ ［写真］木造の妻入り建物。正面に唐破風の玄関、深い軒
④ ［写真］大きな切妻屋根の細長い建物を斜めから見た外観。背後に丘、電柱
正解: ④ ［写真］大きな切妻屋根の細長い建物を斜めから見た外観。背後に丘、電柱"
R01-Q013,1,第1回,2007-01-28,1級・2級共通,13,,選択,小樽の鰊漁家が遠隔地にも漁場を経営できた理由の正しい組み合わせを以下から選んでください。,安定した漁獲と消費地に近かったこと,魚肥の高い需要と運河の存在,安定した漁獲と造船技術,安定した漁獲と魚肥の高い需要,④,安定した漁獲と魚肥の高い需要,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問13】
小樽の鰊漁家が遠隔地にも漁場を経営できた理由の正しい組み合わせを以下から選んでください。
① 安定した漁獲と消費地に近かったこと
② 魚肥の高い需要と運河の存在
③ 安定した漁獲と造船技術
④ 安定した漁獲と魚肥の高い需要
正解: ④ 安定した漁獲と魚肥の高い需要"
R01-Q014,1,第1回,2007-01-28,1級・2級共通,14,,選択,祝津の鰊御殿がかつてあった場所と所有者の組み合わせを以下から選んでください。,泊村の田中家,泊村の猪俣家,余市町の田中家,余市町の猪俣家,①,泊村の田中家,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問14】
祝津の鰊御殿がかつてあった場所と所有者の組み合わせを以下から選んでください。
① 泊村の田中家
② 泊村の猪俣家
③ 余市町の田中家
④ 余市町の猪俣家
正解: ① 泊村の田中家"
R01-Q015,1,第1回,2007-01-28,1級・2級共通,15,,選択,平磯岬にある銀鱗荘がかつてあった場所と所有者の組み合わせを以下から選んでください。,泊村の田中家,泊村の猪俣家,余市町の田中家,余市町の猪俣家,④,余市町の猪俣家,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問15】
平磯岬にある銀鱗荘がかつてあった場所と所有者の組み合わせを以下から選んでください。
① 泊村の田中家
② 泊村の猪俣家
③ 余市町の田中家
④ 余市町の猪俣家
正解: ④ 余市町の猪俣家"
R01-Q016,1,第1回,2007-01-28,1級・2級共通,16,,選択,オタルナイ場所とタカシマ場所、タカシマ場所とオショロ場所の境界の組み合わせの正しいものを以下から選んでください。,於古発川（妙見川）と山中,星置と於古発川（妙見川）,有幌町と茅芝岬,平磯岬と手宮,①,於古発川（妙見川）と山中,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問16】
オタルナイ場所とタカシマ場所、タカシマ場所とオショロ場所の境界の組み合わせの正しいものを以下から選んでください。
① 於古発川（妙見川）と山中
② 星置と於古発川（妙見川）
③ 有幌町と茅芝岬
④ 平磯岬と手宮
正解: ① 於古発川（妙見川）と山中"
R01-Q017,1,第1回,2007-01-28,1級・2級共通,17,,選択,沖揚げ音頭をうたう際の独唱の別称を以下から選んでください。,キヤリ,キリ声,ハオイ,シタゴエ,③,ハオイ,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問17】
沖揚げ音頭をうたう際の独唱の別称を以下から選んでください。
① キヤリ
② キリ声
③ ハオイ
④ シタゴエ
正解: ③ ハオイ"
R01-Q018,1,第1回,2007-01-28,1級・2級共通,18,,選択,明治期に活躍した「小樽商人」の主な業務は何でしたか。,小売業,卸売業,サービス業,請負業,②,卸売業,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問18】
明治期に活躍した「小樽商人」の主な業務は何でしたか。
① 小売業
② 卸売業
③ サービス業
④ 請負業
正解: ② 卸売業"
R01-Q019,1,第1回,2007-01-28,1級・2級共通,19,,選択,明治27年に西出孫左衛門と西谷庄八によって竣工した小樽倉庫は、その翌28年には誰に売却されていますか。,山本久右衛門,山本厚三,山本五十六,山本権兵衛,①,山本久右衛門,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問19】
明治27年に西出孫左衛門と西谷庄八によって竣工した小樽倉庫は、その翌28年には誰に売却されていますか。
① 山本久右衛門
② 山本厚三
③ 山本五十六
④ 山本権兵衛
正解: ① 山本久右衛門"
R01-Q020,1,第1回,2007-01-28,1級・2級共通,20,,選択,小樽市民会館に銅像のある藤山要吉は明治時代に小樽区に何を寄贈していますか。,市庁舎,議事堂,公会堂,能舞台,③,公会堂,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問20】
小樽市民会館に銅像のある藤山要吉は明治時代に小樽区に何を寄贈していますか。
① 市庁舎
② 議事堂
③ 公会堂
④ 能舞台
正解: ③ 公会堂"
R01-Q021,1,第1回,2007-01-28,1級・2級共通,21,,選択,大正11年に野口喜一郎が自ら設計し、昭和29年には天皇・皇后両陛下が宿泊された建物は何ですか。,和光荘,望海荘,龍宮荘,弁天荘,①,和光荘,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問21】
大正11年に野口喜一郎が自ら設計し、昭和29年には天皇・皇后両陛下が宿泊された建物は何ですか。
① 和光荘
② 望海荘
③ 龍宮荘
④ 弁天荘
正解: ① 和光荘"
R01-Q022,1,第1回,2007-01-28,1級・2級共通,22,,選択,現在の小樽オルゴール堂は明治45年に共成株式会社として建てられましたが、共成は明治24年に設立され、東京以北最大の精米会社として発展しましたが、その始祖は誰ですか。,倉橋大介,沼田喜三郎,金子元三郎,藤山要吉,②,沼田喜三郎,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問22】
現在の小樽オルゴール堂は明治45年に共成株式会社として建てられましたが、共成は明治24年に設立され、東京以北最大の精米会社として発展しましたが、その始祖は誰ですか。
① 倉橋大介
② 沼田喜三郎
③ 金子元三郎
④ 藤山要吉
正解: ② 沼田喜三郎"
R01-Q023,1,第1回,2007-01-28,1級・2級共通,23,,選択,一連の小樽商人は一族や同郷で組織してきた傾向がありますが、明治12年に第四十四国立銀行の小樽支店長として赴任し、同18年には日本郵船会社の石巻支店長となり、以後、小樽で金子元三郎、板谷宮吉、寺田省帰、遠藤又兵衛、藤山要吉らをコーディネートし、同郷にかたよらず様々な事業を展開した人は誰ですか。,高橋直治,岡崎謙,磯野進,倉橋大介,④,倉橋大介,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問23】
一連の小樽商人は一族や同郷で組織してきた傾向がありますが、明治12年に第四十四国立銀行の小樽支店長として赴任し、同18年には日本郵船会社の石巻支店長となり、以後、小樽で金子元三郎、板谷宮吉、寺田省帰、遠藤又兵衛、藤山要吉らをコーディネートし、同郷にかたよらず様々な事業を展開した人は誰ですか。
① 高橋直治
② 岡崎謙
③ 磯野進
④ 倉橋大介
正解: ④ 倉橋大介"
R01-Q024,1,第1回,2007-01-28,1級・2級共通,24,,選択,祝津鰊親方の御三家といわれているのは、どれですか。,金子・渡辺・藤山,青山・白鳥・茨木,山本・田中・岡崎,広谷・内田・猪股,②,青山・白鳥・茨木,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問24】
祝津鰊親方の御三家といわれているのは、どれですか。
① 金子・渡辺・藤山
② 青山・白鳥・茨木
③ 山本・田中・岡崎
④ 広谷・内田・猪股
正解: ② 青山・白鳥・茨木"
R01-Q025,1,第1回,2007-01-28,1級・2級共通,25,,選択,田中酒造亀甲蔵は明治39年に建てられましたが、建てた商人は小樽に能舞台を寄贈しています。それは誰ですか。,岡崎謙,磯野進,森正則,添田弼,①,岡崎謙,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問25】
田中酒造亀甲蔵は明治39年に建てられましたが、建てた商人は小樽に能舞台を寄贈しています。それは誰ですか。
① 岡崎謙
② 磯野進
③ 森正則
④ 添田弼
正解: ① 岡崎謙"
R01-Q026,1,第1回,2007-01-28,1級・2級共通,26,,選択,北前船主が建てた倉庫で現在の運河沿いにないのは次のうちどれですか。,大家倉庫,中村倉庫,右近倉庫,広海倉庫,②,中村倉庫,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問26】
北前船主が建てた倉庫で現在の運河沿いにないのは次のうちどれですか。
① 大家倉庫
② 中村倉庫
③ 右近倉庫
④ 広海倉庫
正解: ② 中村倉庫"
R01-Q027,1,第1回,2007-01-28,1級・2級共通,27,,選択,北前船ビジネスを小樽で開花させたのは次のうち、どの商人ですか。,近江商人,松前商人,加越能商人,越後商人,③,加越能商人,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問27】
北前船ビジネスを小樽で開花させたのは次のうち、どの商人ですか。
① 近江商人
② 松前商人
③ 加越能商人
④ 越後商人
正解: ③ 加越能商人"
R01-Q028,1,第1回,2007-01-28,1級・2級共通,28,,選択,石川県加賀市瀬越町では、町に多くの寄付をしてきた二人の北前船主を「両家様」と呼び尊敬してきましたが、二人とも小樽に倉庫を建てています。それは大家七平ともう一人は誰ですか。,中村三之丞,右近権左衛門,山本久右衛門,広海二三郎,④,広海二三郎,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問28】
石川県加賀市瀬越町では、町に多くの寄付をしてきた二人の北前船主を「両家様」と呼び尊敬してきましたが、二人とも小樽に倉庫を建てています。それは大家七平ともう一人は誰ですか。
① 中村三之丞
② 右近権左衛門
③ 山本久右衛門
④ 広海二三郎
正解: ④ 広海二三郎"
R01-Q029,1,第1回,2007-01-28,1級・2級共通,29,,選択,小樽の住吉神社の大鳥居を寄贈したのは次の組み合わせのうちどれですか。,西出孫左衛門と西谷庄八,右近権左衛門と中村三之丞,大家七平と広海二三郎,板谷宮吉と高橋直治,③,大家七平と広海二三郎,,1-問題.pdf / 1_kaitou.pdf,"【第1回 おたる案内人検定 問29】
小樽の住吉神社の大鳥居を寄贈したのは次の組み合わせのうちどれですか。
① 西出孫左衛門と西谷庄八
② 右近権左衛門と中村三之丞
③ 大家七平と広海二三郎
④ 板谷宮吉と高橋直治
正解: ③ 大家七平と広海二三郎"
R23-Q001,23,第23回,2026-03-08,1級・2級共通,1,,記述,小樽のまちの変遷として「場所」、「村並」から「郡」へと変わっていきます。小樽が「郡」となったのは何年でしょうか。,,,,,明治2年または1869年,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問1】
小樽のまちの変遷として「場所」、「村並」から「郡」へと変わっていきます。小樽が「郡」となったのは何年でしょうか。
正解: 明治2年または1869年"
R23-Q002,23,第23回,2026-03-08,1級・2級共通,2,,選択,小樽が「村並」になった時代、定住者が増えていったおもな理由は次のどれでしょうか。,北前船がたくさん寄港するようになった,鰊漁の出稼ぎなどで東北地方、近江、松前から人が移り住んだ,アイヌの人々の定住者が増えた,倒幕運動から逃れてきた,②,鰊漁の出稼ぎなどで東北地方、近江、松前から人が移り住んだ,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問2】
小樽が「村並」になった時代、定住者が増えていったおもな理由は次のどれでしょうか。
① 北前船がたくさん寄港するようになった
② 鰊漁の出稼ぎなどで東北地方、近江、松前から人が移り住んだ
③ アイヌの人々の定住者が増えた
④ 倒幕運動から逃れてきた
正解: ② 鰊漁の出稼ぎなどで東北地方、近江、松前から人が移り住んだ"
R23-Q003-A,23,第23回,2026-03-08,1級・2級共通,3,A,記述,（ ）内に該当する語句を書きなさい。問1の年、もう2つの大きな出来事がありました。一つは（A）から北海道へ改称。もう一つは（B）の廃止により誰もが漁場を開拓できるようになりました。,,,,,蝦夷地,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問3A】
（ ）内に該当する語句を書きなさい。問1の年、もう2つの大きな出来事がありました。一つは（A）から北海道へ改称。もう一つは（B）の廃止により誰もが漁場を開拓できるようになりました。
正解: 蝦夷地"
R23-Q003-B,23,第23回,2026-03-08,1級・2級共通,3,B,記述,（ ）内に該当する語句を書きなさい。問1の年、もう2つの大きな出来事がありました。一つは（A）から北海道へ改称。もう一つは（B）の廃止により誰もが漁場を開拓できるようになりました。,,,,,場所請負制,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問3B】
（ ）内に該当する語句を書きなさい。問1の年、もう2つの大きな出来事がありました。一つは（A）から北海道へ改称。もう一つは（B）の廃止により誰もが漁場を開拓できるようになりました。
正解: 場所請負制"
R23-Q004,23,第23回,2026-03-08,1級・2級共通,4,,選択,次の4人のなかで「北海道」という名称に改称される際、大きく関わった人物は次のどれでしょうか。,土方歳三,松浦武四郎,黒田清隆,榎本武揚,②,松浦武四郎,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問4】
次の4人のなかで「北海道」という名称に改称される際、大きく関わった人物は次のどれでしょうか。
① 土方歳三
② 松浦武四郎
③ 黒田清隆
④ 榎本武揚
正解: ② 松浦武四郎"
R23-Q005,23,第23回,2026-03-08,1級・2級共通,5,,選択,北海道開拓において開拓顧問として活躍したホーレス・ケプロンのアメリカ連邦政府での役職名（明治4(1871)年の時）は次のどれでしょうか。,工部省長官,鉱業省長官,農務省長官,開拓省長官,③,農務省長官,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問5】
北海道開拓において開拓顧問として活躍したホーレス・ケプロンのアメリカ連邦政府での役職名（明治4(1871)年の時）は次のどれでしょうか。
① 工部省長官
② 鉱業省長官
③ 農務省長官
④ 開拓省長官
正解: ③ 農務省長官"
R23-Q006,23,第23回,2026-03-08,1級・2級共通,6,,記述,昭和初期、小樽の花園町で割烹料亭の経営者が小樽観光のはじまりともいえるオタモイ遊園地を建設しました。この加藤秋太郎が経営していた花園町の店は何という名前でしょうか。,,,,,蛇の目,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問6】
昭和初期、小樽の花園町で割烹料亭の経営者が小樽観光のはじまりともいえるオタモイ遊園地を建設しました。この加藤秋太郎が経営していた花園町の店は何という名前でしょうか。
正解: 蛇の目"
R23-Q007,23,第23回,2026-03-08,1級・2級共通,7,,選択,鰊漁期中に雌が産卵したところに雄が白子を放出し、海が白くなるという現象がありますが、その現象を表した正しい漢字は次のどれでしょうか。,郡来,群帰,群喜,群来,④,群来,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問7】
鰊漁期中に雌が産卵したところに雄が白子を放出し、海が白くなるという現象がありますが、その現象を表した正しい漢字は次のどれでしょうか。
① 郡来
② 群帰
③ 群喜
④ 群来
正解: ④ 群来"
R23-Q008,23,第23回,2026-03-08,1級・2級共通,8,,選択,江戸時代、江差、松前で行われていた鰊漁はそれらの地域が不漁になると、鰊を追った人々は享保年間には近場所まで、その後中場所まで出漁が許可されました。この鰊を追った人々のことを何というでしょうか。次の中から選びなさい。,親方,場所請負人,雇い,追鰊,④,追鰊,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問8】
江戸時代、江差、松前で行われていた鰊漁はそれらの地域が不漁になると、鰊を追った人々は享保年間には近場所まで、その後中場所まで出漁が許可されました。この鰊を追った人々のことを何というでしょうか。次の中から選びなさい。
① 親方
② 場所請負人
③ 雇い
④ 追鰊
正解: ④ 追鰊"
R23-Q009,23,第23回,2026-03-08,1級・2級共通,9,,選択,鰊漁の場所の範囲を説明している文です。正しいのはどれでしょうか。,現在の札幌市星置付近から勝納川までがオタルナイ場所,於古発川から山中までがタカシマ場所,高島岬からフゴッペ岬までがオショロ場所,於古発川から高島岬までがタカシマ場所,②,於古発川から山中までがタカシマ場所,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問9】
鰊漁の場所の範囲を説明している文です。正しいのはどれでしょうか。
① 現在の札幌市星置付近から勝納川までがオタルナイ場所
② 於古発川から山中までがタカシマ場所
③ 高島岬からフゴッペ岬までがオショロ場所
④ 於古発川から高島岬までがタカシマ場所
正解: ② 於古発川から山中までがタカシマ場所"
R23-Q010,23,第23回,2026-03-08,1級・2級共通,10,,記述,明治20年代、祝津、高島地区の総建網数102統のうち、16統を所有する漁家がいました。この漁家名を書きなさい。,,,,,青山家,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問10】
明治20年代、祝津、高島地区の総建網数102統のうち、16統を所有する漁家がいました。この漁家名を書きなさい。
正解: 青山家"
R23-Q011,23,第23回,2026-03-08,1級・2級共通,11,,記述,祝津に現在も残っている鰊漁で有名な親方の住居です。この漁家名は何というでしょうか。,,,,,茨木家,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問11】
祝津に現在も残っている鰊漁で有名な親方の住居です。この漁家名は何というでしょうか。
正解: 茨木家"
R23-Q012,23,第23回,2026-03-08,1級・2級共通,12,,選択,余市町から昭和13(1938)年に小樽の平磯岬に移築された、猪伺安之丞が明治後期に建てた鰊漁家建築は令和5(2023)年2月、文化財に登録されました。その指定・区分は次のどれでしょうか。,国指定重要文化財,道指定有形文化財,市指定有形文化財,国登録有形文化財,④,国登録有形文化財,人名「猪伺安之丞」はOCR不鮮明,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問12】
余市町から昭和13(1938)年に小樽の平磯岬に移築された、猪伺安之丞が明治後期に建てた鰊漁家建築は令和5(2023)年2月、文化財に登録されました。その指定・区分は次のどれでしょうか。
① 国指定重要文化財
② 道指定有形文化財
③ 市指定有形文化財
④ 国登録有形文化財
正解: ④ 国登録有形文化財"
R23-Q013,23,第23回,2026-03-08,1級・2級共通,13,,選択,小樽（忍路除く）の鰊漁獲量の最高値は大正14(1925)年です。この年の漁獲量は次のどれでしょうか。,"95,000石","85,000石","75,000石","65,000石",③,"75,000石",,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問13】
小樽（忍路除く）の鰊漁獲量の最高値は大正14(1925)年です。この年の漁獲量は次のどれでしょうか。
① 95,000石
② 85,000石
③ 75,000石
④ 65,000石
正解: ③ 75,000石"
R23-Q014,23,第23回,2026-03-08,1級・2級共通,14,,記述,鰊漁の雇い漁夫に関する次の文章のカッコに入る地域名を記入しなさい。明治20年代に雇われた漁夫数は北海道全体で9万人を超え、そのうち約6万人は他府県でした。そのおもな出身地は南部、津軽、（ ）、庄内地方出身の人々でした。,,,,,秋田,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問14】
鰊漁の雇い漁夫に関する次の文章のカッコに入る地域名を記入しなさい。明治20年代に雇われた漁夫数は北海道全体で9万人を超え、そのうち約6万人は他府県でした。そのおもな出身地は南部、津軽、（ ）、庄内地方出身の人々でした。
正解: 秋田"
R23-Q015,23,第23回,2026-03-08,1級・2級共通,15,,選択,食用の生鰊の呼び方として正しいのは次のどれでしょうか。,松前鰊,胴鰊,粒鰊,身欠,③,粒鰊,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問15】
食用の生鰊の呼び方として正しいのは次のどれでしょうか。
① 松前鰊
② 胴鰊
③ 粒鰊
④ 身欠
正解: ③ 粒鰊"
R23-Q016,23,第23回,2026-03-08,1級・2級共通,16,,選択,鰊漁における「沖揚げ」とはどのようなことをいうのでしょうか。次の中から選びなさい。,沖に仕掛けた建網で漁獲すること,鰊を陸に揚げるときのこと,網を手繰り寄せ波船にいれる作業を繰り返すこと,海上で鰊を捕獲して陸揚げするまでの一連の流れのこと,④,海上で鰊を捕獲して陸揚げするまでの一連の流れのこと,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問16】
鰊漁における「沖揚げ」とはどのようなことをいうのでしょうか。次の中から選びなさい。
① 沖に仕掛けた建網で漁獲すること
② 鰊を陸に揚げるときのこと
③ 網を手繰り寄せ波船にいれる作業を繰り返すこと
④ 海上で鰊を捕獲して陸揚げするまでの一連の流れのこと
正解: ④ 海上で鰊を捕獲して陸揚げするまでの一連の流れのこと"
R23-Q017,23,第23回,2026-03-08,1級・2級共通,17,,選択,江戸時代後半から続いた鰊漁は肥料として大きな商売となっていましたが、段々と肥料としての需要は次第に衰退していきました。その理由と関係ないのは次のどれでしょうか。,化学肥料が出てきた,生鰊が大量に全国に流通できるようになった,漁獲量が不安定になってきた,大正時代後半から高単価な身欠鰊製造の比重が高まってきた,②,生鰊が大量に全国に流通できるようになった,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問17】
江戸時代後半から続いた鰊漁は肥料として大きな商売となっていましたが、段々と肥料としての需要は次第に衰退していきました。その理由と関係ないのは次のどれでしょうか。
① 化学肥料が出てきた
② 生鰊が大量に全国に流通できるようになった
③ 漁獲量が不安定になってきた
④ 大正時代後半から高単価な身欠鰊製造の比重が高まってきた
正解: ② 生鰊が大量に全国に流通できるようになった"
R23-Q018,23,第23回,2026-03-08,1級・2級共通,18,,記述,鰊漁では作業のときに唄われる「うた」があります。次の作業で唄われる音頭名を書きなさい。「綱の目をふさぐほど産み付けられた卵を綱から落とすときに浜辺で唄いました。」,,,,,子はたき音頭,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問18】
鰊漁では作業のときに唄われる「うた」があります。次の作業で唄われる音頭名を書きなさい。「綱の目をふさぐほど産み付けられた卵を綱から落とすときに浜辺で唄いました。」
正解: 子はたき音頭"
